Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
10/15/2020,8:00 AM,Andaman and Nicobar Islands,3796,55,4046
10/15/2020,8:00 AM,Andhra Pradesh,719477,6319,767465
10/15/2020,8:00 AM,Tamil Nadu,617403,10423,670392
10/15/2020,8:00 AM,Haryana,133706,1614,145507
10/15/2020,8:00 AM,Jharkhand,86367,811,94369
10/15/2020,8:00 AM,Delhi,289747,5898,317548
10/15/2020,8:00 AM,Odisha,235763,1062,259541
10/15/2020,8:00 AM,Punjab,114075,3925,125760
10/15/2020,8:00 AM,Chandigarh,12119,199,13403
10/15/2020,8:00 AM,Uttar Pradesh,401306,6507,444711
10/15/2020,8:00 AM,Madhya Pradesh,138158,2686,155276
10/15/2020,8:00 AM,Sikkim,3075,59,3459
10/15/2020,8:00 AM,Telengana,193218,1249,217670
10/15/2020,8:00 AM,Goa,34731,519,39438
10/15/2020,8:00 AM,Gujarat,136404,3595,154936
10/15/2020,8:00 AM,West Bengal,268384,5808,305697
10/15/2020,8:00 AM,Uttarakhand,49129,796,56070
10/15/2020,8:00 AM,Tripura,25394,319,29031
10/15/2020,8:00 AM,Jammu and Kashmir,74318,1352,85409
10/15/2020,8:00 AM,Rajasthan,141835,1694,165240
10/15/2020,8:00 AM,Assam,168072,834,198213
10/15/2020,8:00 AM,Maharashtra,1316769,40859,1554389
10/15/2020,8:00 AM,Himachal Pradesh,15233,255,18008
10/15/2020,8:00 AM,Puducherry,27152,568,32245
10/15/2020,8:00 AM,Karnataka,611167,10198,735371
10/15/2020,8:00 AM,Chhattisgarh,121548,1339,150696
10/15/2020,8:00 AM,Ladakh,4261,64,5304
10/15/2020,8:00 AM,Nagaland,5916,22,7416
10/15/2020,8:00 AM,Manipur,10915,103,14094
10/15/2020,8:00 AM,Arunachal Pradesh,9694,29,12768
10/15/2020,8:00 AM,Meghalaya,5582,70,7991
10/15/2020,8:00 AM,Kerala,215149,1066,310140
10/16/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3099,2,3172
10/16/2020,8:00 AM,Mizoram,2121,0,2229
10/16/2020,8:00 AM,Bihar,189186,972,201196
10/16/2020,8:00 AM,Andhra Pradesh,725099,6357,771503
10/16/2020,8:00 AM,Andaman and Nicobar Islands,3817,55,4062
10/16/2020,8:00 AM,Tamil Nadu,622458,10472,674802
10/16/2020,8:00 AM,Jharkhand,87240,820,94952
10/16/2020,8:00 AM,Haryana,134719,1623,146706
10/16/2020,8:00 AM,Punjab,115186,3954,126230
10/16/2020,8:00 AM,Delhi,292502,5924,321031
10/16/2020,8:00 AM,Odisha,238535,1089,262011
10/16/2020,8:00 AM,Chandigarh,12232,201,13477
10/16/2020,8:00 AM,Uttar Pradesh,404545,6543,447383
10/16/2020,8:00 AM,Sikkim,3129,59,3500
10/16/2020,8:00 AM,Madhya Pradesh,139717,2710,156584
10/16/2020,8:00 AM,Telengana,194653,1256,219224
10/16/2020,8:00 AM,Uttarakhand,49997,814,56493
10/16/2020,8:00 AM,Goa,35161,525,39770
10/16/2020,8:00 AM,Tripura,25765,323,29193
10/16/2020,8:00 AM,Gujarat,137733,3606,156121
10/16/2020,8:00 AM,Jammu and Kashmir,75641,1358,86057
10/16/2020,8:00 AM,West Bengal,271563,5870,309417
10/16/2020,8:00 AM,Rajasthan,143984,1708,167279
10/16/2020,8:00 AM,Assam,169335,843,198982
10/16/2020,8:00 AM,Maharashtra,1330483,41196,1564615
10/16/2020,8:00 AM,Puducherry,27365,570,32486
10/16/2020,8:00 AM,Himachal Pradesh,15389,260,18303
10/16/2020,8:00 AM,Karnataka,620008,10283,743848
10/16/2020,8:00 AM,Chhattisgarh,123943,1385,153515
